SMILES,C,H,O
[CH2][CH2][O][O],2,4,2
[CH2][CH]([CH2])[CH2],4,7,0
[CH2][CH]([CH2])[CH3],4,8,0
[CH2][CH]([CH2])[OH],3,6,1
[CH2][CH]([CH2])[O],3,5,1
[CH2][CH]([CH3])[CH3],4,9,0
[CH2][CH]([CH3])[OH],3,7,1
[CH2][CH]([CH3])[O],3,6,1
[CH2][CH]([OH])[OH],2,5,2
[CH2][CH]([O])[OH],2,4,2
[CH2][CH]([O])[O],2,3,2
[CH2][CH]1[CH2][CH2]1,4,7,0
[CH2][CH]1[CH2][O]1,3,5,1
[CH2][CH]1[CH]=[CH]1,4,5,0
[CH2][CH]1[CH][CH2]1,4,6,0
[CH2][CH]1[CH][CH]1,4,5,0
[CH2][CH]1[CH][O]1,3,4,1
[CH2][CH]1[C]#[C]1,4,3,0
[CH2][CH]1[C]=[CH]1,4,4,0
[CH2][CH]1[C]=[C]1,4,3,0
[CH2][CH]1[C][CH2]1,4,5,0
[CH2][CH]1[C][CH]1,4,4,0
[CH2][CH]1[C][C]1,4,3,0
[CH2][CH]1[C][O]1,3,3,1
[CH2][CH]1[O][O]1,2,3,2
[CH2][CH]=[CH][CH2],4,6,0
[CH2][CH]=[CH][CH3],4,7,0
[CH2][CH]=[CH][OH],3,5,1
[CH2][CH]=[CH][O],3,4,1
[CH2][CH]=[C]=[CH2],4,5,0
[CH2][CH]=[C]=[O],3,3,1
[CH2][CH]=[C][CH3],4,6,0
[CH2][CH]=[C][OH],3,4,1
[CH2][CH]=[C][O],3,3,1
[CH2][CH][CH2][CH2],4,7,0
[CH2][CH][CH2][CH3],4,8,0
[CH2][CH][CH2][OH],3,6,1
[CH2][CH][CH2][O],3,5,1
[CH2][CH][CH]=[CH2],4,6,0
[CH2][CH][CH]=[O],3,4,1
[CH2][CH][CH][CH2],4,6,0
[CH2][CH][CH][CH3],4,7,0
[CH2][CH][CH][OH],3,5,1
[CH2][CH][CH][O],3,4,1
[CH2][CH][C]=[CH2],4,5,0
[CH2][CH][C]=[O],3,3,1
[CH2][CH][C][CH3],4,6,0
[CH2][CH][C][OH],3,4,1
[CH2][CH][C][O],3,3,1
[CH2][CH][O][CH2],3,5,1
[CH2][CH][O][CH3],3,6,1
[CH2][CH][O][OH],2,4,2
[CH2][CH][O][O],2,3,2
[CH2][C]#[C][CH2],4,4,0
[CH2][C]#[C][CH3],4,5,0
[CH2][C]#[C][OH],3,3,1
[CH2][C]#[C][O],3,2,1
[CH2][C](=[CH2])[CH3],4,7,0
[CH2][C](=[CH2])[OH],3,5,1
[CH2][C](=[CH2])[O],3,4,1
[CH2][C](=[O])[OH],2,3,2
[CH2][C]([CH2])=[CH2],4,6,0
[CH2][C]([CH2])=[O],3,4,1
[CH2][C]([CH2])[CH2],4,6,0
[CH2][C]([CH2])[CH3],4,7,0
[CH2][C]([CH2])[OH],3,5,1
[CH2][C]([CH2])[O],3,4,1
[CH2][C]([CH3])=[O],3,5,1
[CH2][C]([CH3])[CH3],4,8,0
[CH2][C]([CH3])[OH],3,6,1
[CH2][C]([CH3])[O],3,5,1
[CH2][C]([OH])[OH],2,4,2
[CH2][C]([O])=[O],2,2,2
[CH2][C]([O])[OH],2,3,2
[CH2][C]([O])[O],2,2,2
[CH2][C]1=[CH][CH2]1,4,5,0
[CH2][C]1=[CH][CH]1,4,4,0
[CH2][C]1=[CH][C]1,4,3,0
[CH2][C]1=[CH][O]1,3,3,1
[CH2][C]1=[C]=[CH]1,4,3,0
[CH2][C]1=[C]=[C]1,4,2,0
[CH2][C]1=[C][CH2]1,4,4,0
[CH2][C]1=[C][CH]1,4,3,0
[CH2][C]1=[C][C]1,4,2,0
[CH2][C]1=[C][O]1,3,2,1
[CH2][C]1[CH2][CH2]1,4,6,0
[CH2][C]1[CH2][O]1,3,4,1
[CH2][C]1[CH]=[CH]1,4,4,0
[CH2][C]1[CH][CH2]1,4,5,0
[CH2][C]1[CH][CH]1,4,4,0
[CH2][C]1[CH][O]1,3,3,1
[CH2][C]1[C]#[C]1,4,2,0
[CH2][C]1[C]=[CH]1,4,3,0
[CH2][C]1[C]=[C]1,4,2,0
[CH2][C]1[C][CH2]1,4,4,0
[CH2][C]1[C][CH]1,4,3,0
[CH2][C]1[C][C]1,4,2,0
[CH2][C]1[C][O]1,3,2,1
[CH2][C]1[O][O]1,2,2,2
[CH2][C]=[CH][CH2],4,5,0
[CH2][C]=[CH][CH3],4,6,0
[CH2][C]=[CH][OH],3,4,1
[CH2][C]=[CH][O],3,3,1
[CH2][C]=[C]=[CH2],4,4,0
[CH2][C]=[C]=[O],3,2,1
[CH2][C]=[C][CH2],4,4,0
[CH2][C]=[C][CH3],4,5,0
[CH2][C]=[C][OH],3,3,1
[CH2][C]=[C][O],3,2,1
[CH2][C][CH2][CH2],4,6,0
[CH2][C][CH2][CH3],4,7,0
[CH2][C][CH2][OH],3,5,1
[CH2][C][CH2][O],3,4,1
[CH2][C][CH]=[CH2],4,5,0
[CH2][C][CH]=[O],3,3,1
[CH2][C][CH][CH2],4,5,0
[CH2][C][CH][CH3],4,6,0
[CH2][C][CH][OH],3,4,1
[CH2][C][CH][O],3,3,1
[CH2][C][C]=[CH2],4,4,0
[CH2][C][C]=[O],3,2,1
[CH2][C][C][CH2],4,4,0
[CH2][C][C][CH3],4,5,0
[CH2][C][C][OH],3,3,1
[CH2][C][C][O],3,2,1
[CH2][C][O][CH2],3,4,1
[CH2][C][O][CH3],3,5,1
[CH2][C][O][OH],2,3,2
[CH2][C][O][O],2,2,2
[CH2][O][CH2][CH3],3,7,1
[CH2][O][CH2][OH],2,5,2
[CH2][O][CH2][O],2,4,2
[CH2][O][CH]=[CH2],3,5,1
[CH2][O][CH]=[O],2,3,2
[CH2][O][CH][CH3],3,6,1
[CH2][O][CH][OH],2,4,2
[CH2][O][CH][O],2,3,2
[CH2][O][C]=[CH2],3,4,1
[CH2][O][C]=[O],2,2,2
[CH2][O][C][CH3],3,5,1
[CH2][O][C][OH],2,3,2
[CH2][O][C][O],2,2,2
[CH2][O][O][CH2],2,4,2
[CH2][O][O][CH3],2,5,2
[CH2][O][O][OH],1,3,3
[CH2][O][O][O],1,2,3
[CH3][CH2][CH2][CH3],4,10,0
[CH3][CH2][CH2][OH],3,8,1
[CH3][CH2][CH2][O],3,7,1
[CH3][CH2][CH]=[O],3,6,1
[CH3][CH2][CH][OH],3,7,1
[CH3][CH2][CH][O],3,6,1
[CH3][CH2][C]=[O],3,5,1
[CH3][CH2][C][OH],3,6,1
[CH3][CH2][C][O],3,5,1
[CH3][CH2][O][CH3],3,8,1
[CH3][CH2][O][OH],2,6,2
[CH3][CH2][O][O],2,5,2
[CH3][CH]([CH3])[CH3],4,10,0
[CH3][CH]([CH3])[OH],3,8,1
[CH3][CH]([CH3])[O],3,7,1
